Album,Artist,Album Date
Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,2000-10-17
Senderos De Traición,Heroes Del Silencio,1990-Unknown
Alma En Fuego,Inspector,2002-07-30
Nectar,Los Enanitos Verdes,1999-01-01
Rock en Español 80's & 90's,Kenny y los Eléctricos,2020-05-29
El Grito Del Tiempo,Duncan Dhu,1987-01-17
Grandes Exitos,La Unión,2000-06-30
Solos en América,Miguel Mateos - Zas,1986-09-01
Rock en Tu Idioma Sinfónico,Bon (Bon y Los Enemigos del Silencio),2015-11-27
"Rock En Tu Idioma, Eléctrico","Humberto Calderón (Neón), Sergio Santacruz (Neón), Jorge Chiquis Amaro  Chix , Leonardo de Lozanne",2020-09-22
Singles,Rostros Ocultos,2017-02-10
Conga Rock,Oceano,1987-07-02
Entre el Cielo y el Suelo (Bonus Tracks Edition),Mecano,1986-06-16
Ahí Vamos,Gustavo Cerati,2006-04-04
Greatest Hits 1992-2010 E da qui,Nek,2010-11-16
Non Ci Sto,Syria,2009-11-30
Gaman,Star 99,2025-03-07
Midnight Marauders,A Tribe Called Quest,1993-11-09
Life After Death (2014 Remastered Edition),The Notorious B.I.G.,1997-03-04
Return of the Boom Bap,KRS-One,1993-09-03
The Infamous,Mobb Deep,1995-04-25
Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],Hans Zimmer,2014-11-18
Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],"Hans Zimmer, John Lithgow, Ellen Burstyn, Casey Affleck, Jessica Chastain, Matthew McConaughey, Mackenzie Foy",2014-11-18
Ad Astra (Original Motion Picture Soundtrack),Lorne Balfe,2019-10-17
Ad Astra (Original Motion Picture Soundtrack),Nils Frahm,2019-10-17
The Martian: Original Motion Picture Score,Harry Gregson-Williams,2015-09-30
Wolfmother,Wolfmother,2006-01-01
Operation: Doomsday (Complete),"MF DOOM, Pebbles The Invisible Girl",1999-10-19
00:00,Siddhartha,2022-03-31
Carmesí,José Madero,2016-04-29
Mon Laferte (Vol. 1),Mon Laferte,2015-08-21
Rotos,Young Tender,2018-08-02
El Vuelo del Pez,Siddhartha,2014-01-14
At The Door,The Strokes,2020-02-11
タイム・ラプス,Kinokoteikoku,2018-09-12
ロンググッドバイ,Kinokoteikoku,2013-12-04
eureka,Kinokoteikoku,2013-02-06
SHISHAMO 3,SHISHAMO,2016-03-02
Honenuki E.P.,POLKADOT STINGRAY,2016-11-18
SUGAR TITLE,KEYTALK,2011-11-09
ネオンと虎,PASSEPIED,2018-04-03
全知全能,POLKADOT STINGRAY,2017-11-08
Country Road,Saucy Dog,2017-05-24
Nagisanite,indigo la End,2012-09-05
さようなら、素晴らしい世界,indigo la End,2012-04-11
Love & Groove Delivery,UNCHAIN,2013-03-27
Have Fun,Shin Rizumu,2017-05-10
Togenkyo To Taxi,Mega Shinnosuke,2019-06-05
Mellow Yellow,SPiCYSOL,2018-07-04
DADASTATION,DADARAY,2017-12-06
Connected to You 5M,ASIAN KUNG-FU GENERATION,2003-11-19
Re: Re:,ASIAN KUNG-FU GENERATION,2016-03-16
Flcl (Original Soundtrack),the pillows,2020-01-19
Rubbish:),No Buses,2022-03-09
Eleven plus two / Twelve plus one,Helsinki Lambda Club,2020-11-25
No New World,MASS OF THE FERMENTING DREGS,2018-07-04
